AverageDiscountedReturn,LossBefore,dLoss,LossAfter,AveragePolicyStd,Entropy,MinReturn,AbsLearnSignal,StdReturn,Iteration,ExplainedVariance,MaxReturn,MeanKLBefore,NumTrajs,AverageReturn,Perplexity,MeanKL
-131.469973126,3.78631288761e-16,0.0174368840663,-0.0174368840663,1.0,2.83787706641,-235.265783617,0.841859056509,19.3885764353,0,7.35655980577e-12,-158.948045586,0.0,41,-201.125563175,17.0794684453,0.00627736310674
-133.498160993,9.20904187833e-17,0.0188984809378,-0.0188984809378,0.99490205781,2.8276538024,-246.034999857,0.727606369389,29.025722248,1,0.842815714784,-92.7599400835,0.0,41,-203.76682699,16.9057500279,0.00715166549454
-132.974061092,1.35145666948e-17,0.0183264056887,-0.0183264056887,0.993233923019,2.82429800929,-239.880768457,0.721732808859,27.6918802869,2,0.854772574174,-86.2255658625,0.0,41,-203.121248832,16.8491129128,0.00986880557767
-133.550682908,-1.36189670652e-16,0.0166516167327,-0.0166516167327,0.994019816922,2.82587613409,-254.339604951,0.781157198747,25.1453524921,3,0.892930833285,-154.6983711,0.0,40,-206.942929976,16.875723908,0.00657595732371
-134.914017295,-1.5505305373e-16,0.0182585733216,-0.0182585733216,0.994658139334,2.82716409101,-258.732676797,0.771874647593,20.3561388227,4,0.891387737565,-173.598889398,0.0,40,-207.96538193,16.8974731164,0.0072611876182
-126.501846009,-5.64186904884e-17,0.0187997674148,-0.0187997674148,1.00007528794,2.83802455065,-243.543781736,0.681592778476,37.9868407173,5,0.799434305879,-48.9485097482,0.0,42,-193.76671877,17.0819875835,0.00652619662105
-133.137346533,-1.43357548055e-16,0.0187647908144,-0.0187647908144,0.997493211162,2.83266803562,-245.509877518,0.802717757099,19.2417960506,6,0.895887538458,-156.383598179,0.0,40,-206.225533048,16.9907322836,0.00659106500578
-127.852658445,1.45416581147e-16,0.0189083052518,-0.0189083052518,0.99626216995,2.83016715886,-256.173444024,0.736908904151,34.0321781367,7,0.824122434135,-48.3702719178,0.0,41,-194.327243311,16.9482936453,0.00726424998022
-127.946346074,-1.06489512709e-16,0.017741574127,-0.017741574127,1.00030727278,2.83805818963,-252.133379928,0.722149152781,32.2203273465,8,0.826296987063,-54.7546659343,0.0,41,-197.359525535,17.0825622138,0.00785490614029
-134.388973379,2.15949928958e-16,0.0173355540877,-0.0173355540877,0.992695462618,2.8226605827,-259.051611452,0.781672500299,27.0846965863,9,0.856896095785,-143.040817231,0.0,41,-205.960714521,16.8215463026,0.00627532975976
-129.641450612,4.45936365118e-17,0.019889160774,-0.019889160774,0.99996184447,2.83739627254,-256.278832187,0.711179282005,29.3451573838,10,0.860012820811,-68.5286441742,0.0,41,-200.311796458,17.0712587153,0.00690130784188
-129.259846466,-1.01524274739e-16,0.0207974979999,-0.0207974979999,1.00228339942,2.84203284845,-240.703306814,0.67212103491,36.8456952471,11,0.83671565424,-43.8415574191,0.0,42,-199.833843782,17.1505946838,0.00946961827661
-130.224898936,-5.48363691895e-17,0.017473693405,-0.017473693405,0.990085998307,2.81742667195,-255.71251076,0.716768555745,33.6995286684,12,0.847567494528,-48.6362776821,0.0,41,-201.127747189,16.7337338323,0.00650328597052
-129.938637361,-4.37448262991e-17,0.0187295933656,-0.0187295933656,0.984918919065,2.80679158072,-260.3416063,0.683399250405,36.6199704308,13,0.807543018698,-54.7538800727,0.0,42,-197.150972646,16.5567120365,0.00662446964348
-132.388648808,-3.40890626689e-17,0.0226898490186,-0.0226898490186,0.983565253958,2.80402757032,-258.799437066,0.714939728816,30.9576045499,14,0.843437809956,-67.1208138156,0.0,41,-201.640852253,16.5110122985,0.00936077076546
-127.604145012,-6.30746479804e-17,0.0200663910427,-0.0200663910427,0.986973240596,2.81082618639,-243.678770797,0.684138836172,37.6231238883,15,0.793329842686,-59.6616870422,0.0,42,-196.451537498,16.6236467776,0.00718478490717
-134.650924722,8.33725449789e-17,0.0220249446747,-0.0220249446747,0.982538906418,2.80118873702,-280.168803882,0.774579325234,24.9423744538,16,0.876229076597,-154.188540445,0.0,40,-208.276697925,16.4642067551,0.00666217607031
-129.540717803,-1.56445501272e-16,0.0199294103041,-0.0199294103041,0.989057255599,2.81446879156,-256.978291978,0.742900120448,32.021268153,17,0.808939301095,-90.0837366679,0.0,41,-197.52473072,16.6843105794,0.00678022892102
-125.780533421,-2.40527807903e-16,0.0173045373379,-0.0173045373379,0.987997420026,2.8126925795,-252.436538919,0.680904532083,35.6525826632,18,0.798551878757,-51.1485667857,0.0,42,-191.926162624,16.6547020091,0.0064187633207
