AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.0985378513,-0.1067105123,8.4892330516,-204.202896177,0.1075158192,45.4986955008,-191.578186794,-253.59115155,-50.0099000959,0.2567203554,-33.6683832027,-133.598150356,0.1067105123,10,-0.1075158192,-330.386364004,0.014013236,8.23902875,0.0004664942,40.0138324653
0.0921954381,-0.1097497332,8.6804846591,-193.977225333,0.1098185406,51.9295187132,-166.592020849,-224.699141251,-82.6107263261,0.7067448214,-79.7923578581,-127.500983525,0.1097497332,11,-0.1098185406,-292.424549448,0.0091842492,8.5524368285,0.000197459,45.8211843971
0.0964220775,-0.1098270724,8.7292629022,-179.443811774,0.1098934084,45.6437593293,-203.721713889,-287.796098481,-64.3824052329,0.5650347335,-160.578439982,-119.621130614,0.1098270724,12,-0.1098934084,-292.86592962,0.007170278,8.9062445813,0.0001113164,40.9008160316
0.1040449334,-0.1131889046,8.7055953689,-140.011949742,0.1132365904,51.4769727575,-170.926235853,-239.369444532,-21.6592465789,0.222403949,-77.3225732848,-94.9908730874,0.1131889046,13,-0.1132365904,-303.431604746,0.0056076484,9.1777627285,6.54843429999E-05,57.3370890615
0.1141062952,-0.1205500516,8.8494218801,-121.559655944,0.1205802024,35.2785320959,-133.279575233,-198.798713042,-11.8412963856,0.1347731634,-68.3856103183,-82.2282667383,0.1205500516,14,-0.1205802024,-224.002614153,0.0051257158,9.4325199291,5.29249321882E-05,35.3749317465
0.1256651784,-0.1302956045,8.9579229237,-118.154851868,0.1303334436,30.7464205509,-125.042817222,-171.339448376,-20.6912905842,0.18888748,-79.9931765677,-80.8409152337,0.1302956045,15,-0.1303334436,-215.466481186,0.0049039963,9.644319339,0.000049058,31.2466233695
0.1382004847,-0.1416137212,9.0367921692,-119.191609091,0.1416415086,26.6830897913,-108.798504933,-146.756379475,-11.5757227735,0.1788383789,-36.2930695602,-80.0981636465,0.1416137212,16,-0.1416415086,-166.405006151,0.0053349925,9.8936241738,5.86663552256E-05,31.1287702958
0.1499766381,-0.153056957,9.1071582874,-128.082790098,0.1530985558,25.7998445481,-137.73662513,-191.875818811,-79.525408975,0.2857051485,-83.6647765523,-85.5006028959,0.153056957,17,-0.1530985558,-169.640504256,0.0057050413,10.0954394805,6.67401271975E-05,26.7790382374
0.1612229796,-0.1641495377,9.1584047384,-118.416240803,0.164180832,26.2259085421,-122.038961946,-183.041161052,-79.4817777718,0.330187125,-83.1422016397,-79.6640521412,0.1641495377,18,-0.164180832,-163.712050338,0.0066076506,10.2792463207,8.91135987503E-05,33.7071195081
0.171616186,-0.1748518398,9.2779110809,-117.963111003,0.174892945,28.0229215715,-119.561854515,-185.663770061,-73.2782892698,0.3734583347,-72.839689111,-78.2185998359,0.1748518398,19,-0.174892945,-164.550094202,0.0072558535,10.4837566499,0.0001051383,38.0846884293
